Date,Flight Number,From,To,Class,Price,Flow Card?,Bags Checked,Meal Type
7/22/2024,PA010,Tokyo,New York,Economy,2380,Yes,0,Egg Free
4/20/2024,PA002,New York,London,Economy,3490,Yes,1,Vegan
1/23/2024,PA010,Tokyo,New York,Premium Economy,825,Yes,1,Vegetarian
6/5/2024,PA006,Tokyo,London,First Class,618,Yes,3,Vegan
3/30/2024,PA004,Perth,London,First Class,446,Yes,1,Nut Free
6/14/2024,PA006,Tokyo,London,Premium Economy,1062.5,Yes,3,Egg Free
7/15/2024,PA006,Tokyo,London,First Class,499,Yes,1,Egg Free
2/25/2024,PA004,Perth,London,Premium Economy,827.5,Yes,0,Vegetarian
7/26/2024,PA004,Perth,London,Economy,2245,Yes,1,Vegan
12/10/2024,PA004,Perth,London,Business Class,391.2,Yes,2,Vegetarian
9/23/2024,PA005,London,Tokyo,First Class,626,Yes,2,Vegetarian
6/4/2024,PA006,Tokyo,London,First Class,537,Yes,2,Dairy Free
4/16/2024,PA008,Perth,New York,First Class,216,Yes,0,Vegan
6/21/2024,PA004,Perth,London,Business Class,646.8,Yes,3,None
10/20/2024,PA003,London,Perth,Economy,2215,Yes,3,Nut Free
2/17/2024,PA003,London,Perth,Business Class,784.8,Yes,3,Vegan
5/28/2024,PA005,London,Tokyo,Economy,1505,Yes,2,Dairy Free
6/19/2024,PA003,London,Perth,First Class,454,Yes,1,Dairy Free
2/11/2024,PA012,Tokyo,Perth,Premium Economy,1142.5,Yes,3,Vegan
1/17/2024,PA006,Tokyo,London,Business Class,712.8,Yes,3,Vegetarian
4/8/2024,PA003,London,Perth,First Class,525,Yes,2,Dairy Free
4/12/2024,PA007,New York,Perth,First Class,696,Yes,1,Vegetarian
9/3/2024,PA004,Perth,London,Economy,3445,Yes,0,Vegetarian
11/2/2024,PA008,Perth,New York,First Class,242,Yes,2,Egg Free
1/11/2024,PA002,New York,London,First Class,406,Yes,3,Vegan
8/7/2024,PA005,London,Tokyo,Business Class,739.2,Yes,0,Nut Free
2/25/2024,PA010,Tokyo,New York,Economy,1495,Yes,3,Egg Free
12/4/2024,PA003,London,Perth,Economy,2820,Yes,0,Vegetarian
2/13/2024,PA005,London,Tokyo,First Class,693,Yes,2,None
3/23/2024,PA005,London,Tokyo,Economy,3375,Yes,2,None
10/9/2024,PA012,Tokyo,Perth,Economy,1340,Yes,2,Nut Free
7/5/2024,PA005,London,Tokyo,Premium Economy,1677.5,Yes,3,Dairy Free
6/9/2024,PA003,London,Perth,Business Class,432,Yes,1,Vegan
4/16/2024,PA010,Tokyo,New York,Economy,3105,Yes,1,Dairy Free
8/19/2024,PA001,London,New York,Economy,2550,Yes,3,Dairy Free
7/16/2024,PA003,London,Perth,First Class,284,Yes,3,Nut Free
5/31/2024,PA009,New York,Tokyo,Economy,2450,Yes,3,None
7/25/2024,PA007,New York,Perth,Business Class,573.6,Yes,1,Vegan
11/21/2024,PA006,Tokyo,London,Economy,2270,Yes,2,Dairy Free
7/28/2024,PA010,Tokyo,New York,Premium Economy,1020,Yes,0,Nut Free
8/16/2024,PA007,New York,Perth,Premium Economy,1665,Yes,3,Egg Free
3/18/2024,PA003,London,Perth,Business Class,615.6,Yes,3,Nut Free
